generation,num_eval,time,evaluation,size,active_node
0,6,113.19586038589478,15.708138704299929,3162216,7
1,9,4764.525380134583,14.703033328056335,7214739,5
2,12,3097.672622442245,14.703033328056335,7214739,5
3,15,3446.3916289806366,14.703033328056335,7214739,5
4,18,3224.305812597275,14.243658900260924,2515898,7
5,21,3302.5449752807617,14.243658900260924,2515898,7
6,24,4347.721263170242,11.081218421459198,8754410,9
7,27,3582.77814745903,11.081218421459198,8754410,9
8,30,2919.543743133545,11.081218421459198,8754410,9
9,33,2901.7779467105865,11.081218421459198,8754410,9
10,36,3860.856959104538,11.081218421459198,8754410,9
11,39,4335.068622589111,11.081218421459198,8754410,9
12,42,3824.3637311458574,10.789665043354034,7965258,6
13,45,2886.625081539154,10.789665043354034,7965258,6
14,48,4233.633876562119,10.789665043354034,7965258,6
15,51,3613.745866060257,10.789665043354034,7965258,6
16,54,4794.508699655533,10.789665043354034,7965258,6
17,57,2669.775139808655,10.789665043354034,7965258,6
18,60,3091.495644569397,10.789665043354034,7965258,6
19,63,2723.000348806381,10.789665043354034,7965258,6
20,66,3222.2226219177246,10.789665043354034,7965258,6
21,69,3512.68359041214,10.789665043354034,7965258,6
22,72,3526.487085580826,10.789665043354034,7965258,6
23,75,3356.964346885681,10.789665043354034,7965258,6
24,78,2691.9896054267883,10.789665043354034,7965258,6
25,81,3033.020268201828,10.789665043354034,7965258,6
26,84,3110.8853566646576,10.789665043354034,7965258,6
27,87,3052.3298618793488,10.789665043354034,7965258,6
28,90,3001.1711394786835,10.789665043354034,7965258,6
29,93,3608.747420072556,10.789665043354034,7965258,6
30,96,4638.384756088257,10.789665043354034,7965258,6
31,99,4148.790165185928,10.789665043354034,7965258,6
32,102,3656.975051641464,10.789665043354034,7965258,6
33,105,3589.761468887329,10.789665043354034,7965258,6
34,108,4230.678990125656,10.789665043354034,7965258,6
35,111,3039.163723230362,10.789665043354034,7965258,6
36,114,3250.1241869926453,10.789665043354034,7965258,6
37,117,3347.21218252182,10.789665043354034,7965258,6
38,120,4057.103949785233,10.789665043354034,7965258,6
39,123,4500.768626451492,10.789665043354034,7965258,6
40,126,4988.584958314896,10.789665043354034,7965258,6
41,129,3462.58110499382,10.789665043354034,7965258,6
42,132,3746.612176179886,10.364295840263368,3521706,8
43,135,4150.516833782196,10.364295840263368,3521706,8
44,138,3420.7538306713104,10.364295840263368,3521706,8
45,141,3317.9238233566284,10.364295840263368,3521706,8
46,144,5523.23442697525,10.364295840263368,3521706,8
47,147,3289.593716859817,10.364295840263368,3521706,8
48,150,3034.5827565193176,10.364295840263368,3521706,8
49,153,3668.212265253067,10.364295840263368,3521706,8
50,156,3614.326208114624,10.364295840263368,3521706,8
51,159,3546.8423941135406,10.364295840263368,3521706,8
52,162,3771.5419187545776,10.364295840263368,3521706,8
53,165,3407.125154018402,10.364295840263368,3521706,8
54,168,3510.386687994004,10.364295840263368,3521706,8
55,171,3038.576282262802,10.364295840263368,3521706,8
56,174,3600.008733034134,10.364295840263368,3521706,8
57,177,3334.090464115143,10.364295840263368,3521706,8
58,180,2986.4866235256195,10.364295840263368,3521706,8
59,183,3080.859348297119,10.364295840263368,3521706,8
60,186,3792.8186781406403,10.364295840263367,3521706,8
